timestamp;cpu;ram;disco
2026-08-20 11:00:10;3.5;83.12;52.6
2026-08-20 11:00:11;2.3;83.25;52.6
2026-08-20 11:00:12;3.3;83.27;52.6
2026-08-20 11:00:13;2.0;83.44;52.6
2026-08-20 11:00:14;1.5;83.51;52.6
2026-08-20 11:00:15;1.3;83.39;52.6
2026-08-20 11:00:16;2.5;83.47;52.6
2026-08-20 11:00:17;2.8;83.47;52.6
2026-08-20 11:00:18;1.5;83.65;52.6
2026-08-20 11:00:19;1.8;83.65;52.6
2026-08-20 11:00:20;1.5;83.65;52.6
2026-08-20 11:00:21;3.3;83.67;52.6
2026-08-20 11:00:22;2.3;83.68;52.6
2026-08-20 11:00:23;1.3;83.63;52.6
2026-08-20 11:00:24;2.2;83.61;52.6
2026-08-20 11:00:25;1.5;83.58;52.6
2026-08-20 11:00:26;1.3;83.59;52.6
2026-08-20 11:00:27;1.8;83.64;52.6
2026-08-20 11:00:28;1.3;83.67;52.6
2026-08-20 11:00:29;8.8;83.71;52.6
2026-08-20 11:00:30;3.5;83.73;52.6
2026-08-20 11:00:31;10.9;83.71;52.6
2026-08-20 11:00:32;3.3;83.46;52.6
2026-08-20 11:00:33;1.5;83.42;52.6
2026-08-20 11:00:34;1.5;83.47;52.6
2026-08-20 11:00:35;3.3;83.36;52.6
2026-08-20 11:00:36;5.0;83.41;52.6
2026-08-20 11:00:37;15.8;83.34;52.6
2026-08-20 11:00:38;11.3;83.91;52.6
2026-08-20 11:00:39;30.5;84.06;52.6
2026-08-20 11:00:40;30.7;84.48;52.6
2026-08-20 11:00:41;7.7;84.67;52.6
2026-08-20 11:00:42;8.9;84.24;52.6
2026-08-20 11:00:43;21.5;83.84;52.6
2026-08-20 11:00:44;5.6;83.89;52.6
2026-08-20 11:00:45;17.9;83.92;52.6
2026-08-20 11:00:46;27.3;83.8;52.6
2026-08-20 11:00:47;9.7;83.92;52.6
2026-08-20 11:00:48;5.8;83.92;52.6
2026-08-20 11:00:49;11.9;83.81;52.6
2026-08-20 11:00:50;52.7;83.96;52.6
2026-08-20 11:00:51;53.1;86.05;52.6
2026-08-20 11:00:52;10.3;86.62;52.6
2026-08-20 11:00:53;8.4;86.94;52.6
2026-08-20 11:00:54;14.5;86.64;52.6
2026-08-20 11:00:55;11.7;86.28;52.6
2026-08-20 11:00:56;4.6;86.36;52.6
2026-08-20 11:00:57;11.9;86.22;52.6
2026-08-20 11:00:58;9.7;86.26;52.6
2026-08-20 11:00:59;10.8;86.26;52.6
2026-08-20 11:01:00;26.3;86.3;52.6
2026-08-20 11:01:01;11.6;85.87;52.6
2026-08-20 11:01:02;8.1;85.84;52.6
2026-08-20 11:01:03;4.3;83.08;52.6
2026-08-20 11:01:04;24.9;83.12;52.6
2026-08-20 11:01:05;5.6;83.26;52.6
2026-08-20 11:01:06;7.1;82.77;52.6
2026-08-20 11:01:07;5.3;82.83;52.6
2026-08-20 11:01:08;9.9;82.83;52.6
2026-08-20 11:01:09;5.1;82.75;52.6
2026-08-20 11:01:10;6.1;82.54;52.6
2026-08-20 11:01:11;4.3;82.54;52.6
2026-08-20 11:01:12;4.6;82.55;52.6
2026-08-20 11:01:13;4.8;82.53;52.6
2026-08-20 11:01:14;4.1;82.43;52.6
2026-08-20 11:01:15;5.1;82.43;52.6
2026-08-20 11:01:16;5.3;82.27;52.6
2026-08-20 11:01:17;5.4;82.32;52.6
2026-08-20 11:01:18;4.6;82.38;52.6
2026-08-20 11:01:19;5.3;82.39;52.6
2026-08-20 11:01:20;4.1;82.4;52.6
2026-08-20 11:01:21;4.3;82.37;52.6
2026-08-20 11:01:22;6.1;82.39;52.6
2026-08-20 11:01:23;4.3;82.4;52.6
2026-08-20 11:01:24;13.2;82.39;52.6
2026-08-20 11:01:25;5.1;82.2;52.6
2026-08-20 11:01:26;7.3;82.2;52.6
2026-08-20 11:01:27;6.4;81.99;52.6
2026-08-20 11:01:28;4.6;82.01;52.6
2026-08-20 11:01:29;7.8;82.02;52.6
2026-08-20 11:01:30;11.2;82.14;52.6
2026-08-20 11:01:31;4.4;82.08;52.6
2026-08-20 11:01:32;7.0;82.09;52.6
2026-08-20 11:01:33;6.0;82.05;52.6
